Rank,Name,Location,DetailUrl,Website,Description,Price_Tier
85,Txispa,Atxondo,,https://txispa.com/,Japanese-Basque grill by Tetsuro Maeda.,4
86,The Clove Club,London,,https://thecloveclub.com/,Modern British fine dining in Shoreditch.,4
87,Mugaritz,San Sebastián,,https://www.mugaritz.com/,Andoni Luis Aduriz’s experimental culinary lab.,4
88,Salsify at the Roundhouse,Cape Town,,https://salsify.co.za/,Modern fine dining with Atlantic views.,4
89,Huniik,Mérida,,https://huniik.com/,Contemporary Mayan-influenced cuisine.,4
90,Le Bernardin,New York,,https://www.le-bernardin.com/,Eric Ripert’s legendary French seafood temple.,4
91,Koan,Copenhagen,,https://www.koancph.dk/,Korean-influenced Nordic cuisine.,4
92,Al Gatto Verde,Modena,,https://www.ristorantealgattoverde.com/,Wood-fired sustainable cooking by Jessica Rosval.,4
93,Burnt Ends,Singapore,,https://burntends.com.sg/,Dave Pynt’s iconic modern Australian barbecue.,4
94,Meet the Bund,Shanghai,,https://www.bfcsh.com/,Refined Fujianese cuisine.,4
95,Evvai,São Paulo,,https://www.evvai.com.br/,Modern Italian-Brazilian fusion.,4
96,Atelier Crenn,San Francisco,,https://www.ateliercrenn.com/,"Dominique Crenn’s ""Poetic Culinaria.""",4
97,Labyrinth,Singapore,,https://www.restaurantlabyrinth.com/,"""New Expression"" of Singaporean flavors.",4
98,César,New York,,https://cesar.restaurant/,César Ramirez’s minimalist Manhattan spot.,4
99,Amisfield Restaurant,Queenstown,,https://amisfield.co.nz/,"Wild, hunted, and foraged Kiwi ingredients.",4
100,Neolokal,Istanbul,,https://www.neolokal.com/,Modern Turkish heritage produce and sustainable farming.,4
